user_id,days_active,score_views,session_minutes,risk_profile,premium_user
1,19,4,14.6,aggressive,0
2,8,0,5.9,moderate,0
3,31,4,15.7,moderate,0
4,25,2,9.7,aggressive,0
5,60,6,24.7,moderate,0
6,31,6,21.5,moderate,0
7,38,3,13.3,conservative,0
8,20,1,8.3,moderate,0
9,4,2,14.3,conservative,0
10,45,1,14.8,moderate,1
11,39,5,20.2,moderate,0
12,9,1,10.3,conservative,0
13,78,4,16.7,conservative,0
14,20,3,15.3,moderate,0
15,1,0,10.7,conservative,0
16,68,4,16.0,conservative,0
17,20,1,10.4,moderate,0
18,90,5,21.7,moderate,0
19,23,6,20.1,aggressive,1
20,33,6,27.7,aggressive,0
21,16,5,21.0,conservative,0
22,16,1,11.9,conservative,0
23,25,2,14.6,conservative,0
24,24,1,9.1,moderate,0
25,25,1,9.1,aggressive,1
26,28,3,18.0,moderate,0
27,46,5,20.2,aggressive,1
28,68,0,10.1,conservative,0
29,30,11,42.0,aggressive,1
30,23,2,11.5,moderate,0
31,3,0,6.2,moderate,0
32,37,2,12.7,aggressive,0
33,45,7,22.8,aggressive,0
34,11,2,16.7,moderate,0
35,37,3,13.4,moderate,0
36,40,3,13.1,conservative,0
37,32,2,10.0,moderate,0
38,29,6,18.6,aggressive,0
39,39,2,12.6,conservative,1
40,17,0,6.5,conservative,0
41,34,3,16.5,moderate,0
42,27,4,19.0,moderate,0
43,32,1,14.0,moderate,0
44,27,3,15.4,moderate,1
45,23,1,11.3,conservative,0
46,29,6,27.7,moderate,0
47,24,4,11.8,moderate,0
48,40,3,16.0,moderate,0
49,59,2,16.2,moderate,0
50,53,5,22.7,moderate,0
51,30,2,14.7,conservative,0
52,36,8,31.2,aggressive,0
53,10,3,12.7,moderate,0
54,20,2,15.6,moderate,0
55,40,4,21.5,aggressive,1
56,69,6,13.7,aggressive,0
57,14,4,18.2,aggressive,0
58,9,1,10.1,moderate,0
59,24,3,10.0,moderate,0
60,8,1,10.9,moderate,0
61,21,3,16.3,moderate,0
62,90,3,17.9,conservative,0
63,17,4,16.9,aggressive,0
64,13,2,15.3,moderate,0
65,16,6,16.5,moderate,1
66,18,0,11.0,moderate,0
67,52,4,17.6,moderate,0
68,32,5,17.6,moderate,0
69,19,6,15.7,aggressive,0
70,33,3,15.7,conservative,1
71,46,5,26.6,moderate,0
72,42,4,18.9,conservative,0
73,23,2,14.3,conservative,0
74,23,2,9.9,conservative,0
75,12,4,14.6,aggressive,1
76,52,8,30.2,moderate,0
77,28,3,11.9,aggressive,1
78,49,3,16.3,moderate,0
79,39,0,7.5,conservative,0
80,20,2,12.1,conservative,1
81,16,3,15.3,conservative,0
82,13,6,21.6,aggressive,1
83,19,3,17.3,moderate,1
84,35,2,12.4,moderate,1
85,25,5,23.9,aggressive,0
86,38,2,14.5,conservative,0
87,42,7,23.4,conservative,0
88,17,2,12.6,moderate,0
89,19,5,12.2,moderate,0
90,34,3,15.2,conservative,0
91,64,2,10.5,conservative,0
92,66,6,19.0,aggressive,1
93,24,3,15.9,aggressive,0
94,13,0,8.5,conservative,0
95,22,8,22.0,aggressive,0
96,19,5,11.6,moderate,1
97,43,2,9.7,moderate,0
98,52,6,20.0,aggressive,1
99,57,7,29.3,aggressive,1
100,14,1,8.5,aggressive,1
101,21,1,11.7,moderate,0
102,28,1,9.0,moderate,0
103,82,6,21.9,moderate,1
104,3,1,8.8,moderate,0
105,80,3,10.9,conservative,0
106,28,2,11.7,moderate,0
107,32,5,14.2,moderate,0
108,57,2,14.5,moderate,0
109,50,0,6.7,conservative,0
110,16,5,22.3,aggressive,1
111,13,4,17.9,moderate,0
112,16,1,10.9,moderate,0
113,18,1,9.6,moderate,0
114,45,3,21.4,moderate,1
115,53,8,24.0,moderate,0
116,19,3,10.8,moderate,0
117,20,1,11.9,moderate,0
118,23,1,9.6,conservative,0
119,11,3,13.2,moderate,0
120,2,3,16.0,conservative,0
121,61,1,8.7,conservative,0
122,4,0,8.5,moderate,0
123,8,0,9.2,conservative,0
124,17,3,16.2,moderate,0
125,7,1,11.6,conservative,0
126,12,3,18.0,moderate,1
127,26,1,13.4,conservative,0
128,10,1,7.2,conservative,0
129,40,1,13.6,moderate,0
130,22,4,19.2,moderate,0
131,56,3,15.1,conservative,0
132,43,4,15.0,moderate,0
133,47,8,26.3,aggressive,1
134,43,5,25.2,moderate,0
135,29,5,17.3,aggressive,1
136,52,2,17.5,conservative,0
137,11,0,10.4,conservative,0
138,34,1,8.8,conservative,0
139,20,2,13.8,conservative,0
140,49,8,24.2,aggressive,0
141,19,1,13.3,conservative,0
142,71,6,21.2,aggressive,1
143,15,3,11.7,moderate,0
144,73,9,31.5,aggressive,1
145,42,1,9.3,conservative,0
146,32,7,30.3,aggressive,1
147,22,2,12.7,conservative,0
148,23,6,23.0,aggressive,1
149,31,4,17.1,conservative,0
150,28,2,16.5,conservative,0
151,13,2,9.6,moderate,0
152,19,4,8.2,aggressive,0
153,3,1,9.9,conservative,0
154,8,3,18.5,conservative,1
155,71,1,10.2,conservative,0
156,22,0,8.7,conservative,0
157,19,1,10.8,conservative,0
158,5,1,15.2,moderate,0
159,3,1,10.8,aggressive,0
160,12,2,14.1,moderate,0
161,42,1,14.2,moderate,0
162,21,2,11.6,moderate,0
163,33,3,13.9,moderate,0
164,8,2,13.2,conservative,0
165,40,4,18.3,aggressive,0
166,17,2,11.6,moderate,0
167,35,6,24.6,moderate,0
168,34,3,14.7,moderate,0
169,49,8,26.9,moderate,1
170,16,4,20.0,moderate,0
171,29,1,11.8,moderate,0
172,52,6,23.8,moderate,0
173,11,1,9.6,moderate,0
174,31,3,17.9,conservative,0
175,28,5,18.9,moderate,0
176,36,3,15.5,moderate,0
177,19,1,13.7,conservative,0
178,27,3,15.3,conservative,0
179,47,2,15.5,moderate,0
180,17,1,9.1,conservative,0
181,68,3,15.9,moderate,0
182,62,2,9.0,moderate,1
183,16,1,13.7,moderate,0
184,7,0,9.1,moderate,0
185,21,4,17.6,conservative,0
186,18,0,4.3,conservative,0
187,24,7,25.6,aggressive,1
188,5,2,11.1,aggressive,0
189,73,11,39.5,aggressive,1
190,38,5,18.2,moderate,0
191,19,3,18.7,moderate,0
192,90,11,23.2,aggressive,1
193,28,4,19.8,moderate,0
194,38,5,20.7,moderate,0
195,43,4,24.4,moderate,1
196,40,4,21.0,moderate,0
197,26,0,10.9,conservative,0
198,55,6,20.5,moderate,0
199,24,1,11.1,moderate,1
200,10,0,10.2,conservative,0
201,14,5,13.9,moderate,0
202,20,3,15.2,moderate,1
203,15,5,20.9,conservative,0
204,17,2,8.5,moderate,0
205,36,5,18.3,conservative,0
206,48,2,14.8,moderate,0
207,27,5,20.7,aggressive,1
208,31,3,17.5,moderate,1
209,12,2,13.7,moderate,0
210,19,1,7.3,moderate,0
211,72,3,13.3,conservative,1
212,23,3,11.5,moderate,0
213,34,2,15.7,moderate,1
214,55,9,24.9,aggressive,1
215,7,2,13.1,conservative,0
216,38,1,12.1,moderate,0
217,48,2,11.4,moderate,0
218,8,1,10.2,moderate,0
219,20,4,11.9,conservative,0
220,16,4,17.1,moderate,0
221,15,0,11.9,conservative,0
222,23,5,19.3,moderate,0
223,15,2,12.8,conservative,0
224,26,2,9.2,moderate,0
225,41,3,16.5,moderate,0
226,26,2,12.3,conservative,0
227,90,8,30.7,moderate,0
228,6,2,12.6,aggressive,1
229,16,3,13.9,moderate,1
230,3,1,11.0,conservative,0
231,20,2,14.2,aggressive,0
232,36,1,11.4,moderate,0
233,48,2,13.2,conservative,1
234,28,6,22.3,moderate,0
235,40,2,10.1,moderate,1
236,12,1,9.3,conservative,0
237,27,3,19.7,moderate,0
238,11,1,7.7,moderate,0
239,6,0,9.6,moderate,0
240,45,2,14.4,moderate,0
241,37,1,9.2,moderate,0
242,78,2,12.2,conservative,0
243,32,3,14.3,moderate,1
244,44,8,27.3,aggressive,0
245,33,3,14.8,aggressive,1
246,39,2,12.8,conservative,0
247,27,1,13.3,moderate,0
248,11,4,14.5,moderate,0
249,29,3,15.3,moderate,0
250,8,1,11.7,conservative,0
251,7,2,13.9,moderate,0
252,25,1,7.7,conservative,1
253,5,1,11.6,moderate,0
254,16,2,13.0,conservative,0
255,52,6,19.5,aggressive,0
256,40,5,26.7,conservative,0
257,18,4,20.5,moderate,0
258,5,1,12.1,moderate,0
259,20,2,18.1,conservative,0
260,31,2,17.4,moderate,0
261,51,5,21.2,aggressive,0
262,45,9,32.4,aggressive,1
263,21,1,9.1,moderate,0
264,55,5,16.0,moderate,0
265,27,1,11.4,moderate,1
266,28,3,12.3,aggressive,0
267,18,3,11.4,moderate,0
268,30,5,26.3,moderate,0
269,20,2,15.2,moderate,1
270,4,1,9.0,moderate,0
271,9,0,6.8,moderate,0
272,50,4,25.0,conservative,0
273,28,2,12.1,conservative,0
274,25,1,12.3,conservative,0
275,22,3,16.4,moderate,1
276,51,8,21.9,aggressive,0
277,19,5,15.8,conservative,0
278,10,2,15.0,moderate,1
279,16,2,9.8,aggressive,0
280,15,1,6.6,conservative,0
281,62,7,29.5,aggressive,0
282,21,4,15.2,moderate,0
283,90,4,16.8,moderate,0
284,70,7,21.6,moderate,1
285,29,5,18.6,moderate,0
286,8,2,14.3,conservative,0
287,9,0,6.7,moderate,0
288,14,2,8.5,conservative,0
289,35,3,16.0,aggressive,1
290,14,3,12.8,moderate,0
291,31,9,31.1,moderate,0
292,1,1,9.9,moderate,0
293,35,3,14.6,moderate,0
294,44,0,9.9,conservative,0
295,26,3,16.8,conservative,0
296,14,6,23.5,aggressive,0
297,20,5,24.7,aggressive,1
298,15,2,13.4,moderate,1
299,6,3,16.7,moderate,1
300,30,7,23.9,aggressive,1
301,15,2,10.1,conservative,0
302,18,1,10.7,conservative,0
303,29,2,13.3,conservative,0
304,17,2,12.4,moderate,0
305,14,3,16.6,moderate,1
306,20,3,15.5,moderate,0
307,62,8,36.7,moderate,1
308,90,8,21.4,moderate,0
309,41,3,19.8,moderate,0
310,5,1,8.1,moderate,0
311,27,4,18.3,moderate,0
312,15,2,8.0,moderate,0
313,59,7,19.4,aggressive,1
314,38,9,29.8,aggressive,1
315,46,4,16.4,aggressive,1
316,19,1,9.5,conservative,0
317,15,5,16.8,aggressive,0
318,11,4,12.2,moderate,0
319,51,1,10.6,moderate,0
320,62,8,22.0,moderate,0
321,14,4,13.2,moderate,0
322,30,3,10.9,moderate,1
323,15,4,20.4,moderate,0
324,30,2,19.7,conservative,0
325,24,4,19.6,moderate,1
326,19,1,12.0,conservative,0
327,41,9,35.1,aggressive,1
328,90,9,20.6,conservative,0
329,53,10,32.6,aggressive,1
330,19,0,8.3,moderate,0
331,29,2,15.0,moderate,0
332,5,2,9.1,conservative,0
333,49,6,17.6,moderate,0
334,11,4,18.4,moderate,0
335,10,3,14.2,aggressive,1
336,47,3,19.2,moderate,1
337,3,0,10.6,conservative,0
338,50,13,43.5,aggressive,1
339,77,10,28.5,moderate,1
340,19,1,11.5,moderate,0
341,21,2,10.5,moderate,0
342,65,5,19.4,moderate,1
343,22,1,9.7,conservative,0
344,59,9,37.1,aggressive,1
345,84,8,28.1,moderate,0
346,72,4,15.9,conservative,0
347,37,3,11.4,moderate,0
348,31,1,11.2,conservative,0
349,67,4,16.9,conservative,0
350,40,2,12.3,moderate,1
351,27,3,11.5,conservative,0
352,44,2,15.1,conservative,0
353,46,6,23.7,conservative,0
354,6,1,11.5,conservative,0
355,59,5,20.0,moderate,1
356,27,3,8.7,aggressive,0
357,43,1,9.8,conservative,0
358,63,8,26.7,conservative,0
359,16,0,9.3,conservative,0
360,90,7,23.0,moderate,0
361,47,5,18.5,moderate,1
362,26,1,13.3,conservative,0
363,28,4,19.2,moderate,0
364,29,4,19.2,conservative,0
365,15,5,20.8,moderate,0
366,23,2,16.2,conservative,0
367,89,3,18.2,moderate,0
368,24,1,12.2,conservative,0
369,16,2,10.0,moderate,0
370,24,7,25.7,aggressive,1
371,47,8,29.7,aggressive,1
372,16,3,15.0,moderate,0
373,24,3,10.9,conservative,0
374,44,4,23.8,moderate,1
375,52,4,11.4,moderate,1
376,37,5,17.9,moderate,1
377,25,2,13.3,moderate,0
378,76,6,24.7,moderate,0
379,9,0,5.8,conservative,0
380,27,5,16.5,conservative,0
381,15,4,19.2,moderate,0
382,19,3,18.0,moderate,1
383,29,3,13.8,moderate,0
384,35,1,9.9,conservative,0
385,28,3,16.2,moderate,0
386,24,4,19.3,moderate,1
387,23,4,17.3,conservative,0
388,23,0,8.6,conservative,0
389,11,3,13.3,moderate,0
390,27,1,8.5,moderate,1
391,34,4,15.0,conservative,0
392,47,2,12.9,conservative,0
393,26,2,10.8,moderate,0
394,23,1,9.8,moderate,0
395,21,3,13.5,moderate,0
396,20,6,21.9,aggressive,0
397,47,3,18.9,moderate,0
398,15,2,10.7,moderate,0
399,72,2,17.2,moderate,0
400,90,17,36.5,aggressive,1
401,18,3,12.4,moderate,0
402,45,2,7.4,conservative,0
403,37,1,10.1,conservative,0
404,16,1,15.4,moderate,0
405,37,3,13.3,conservative,0
406,24,3,15.0,moderate,0
407,7,2,11.2,moderate,0
408,18,3,15.2,conservative,0
409,47,5,26.4,moderate,0
410,64,3,13.3,moderate,0
411,14,3,12.3,aggressive,0
412,11,0,6.6,conservative,0
413,25,3,12.6,aggressive,1
414,31,3,16.7,moderate,0
415,38,1,9.7,conservative,0
416,49,1,14.3,conservative,0
417,21,1,13.0,aggressive,0
418,17,0,13.2,aggressive,0
419,4,0,8.8,moderate,0
420,16,3,12.7,aggressive,0
421,10,3,15.8,conservative,0
422,29,3,16.9,conservative,0
423,42,1,12.1,moderate,0
424,36,2,14.0,conservative,0
425,23,1,8.5,moderate,0
426,30,3,22.5,conservative,0
427,11,2,5.5,moderate,0
428,17,4,19.4,moderate,1
429,79,1,12.5,conservative,0
430,16,2,15.4,moderate,0
431,84,3,15.2,moderate,1
432,36,2,13.9,conservative,0
433,6,1,9.1,conservative,0
434,16,3,17.2,aggressive,1
435,65,3,17.1,conservative,1
436,26,2,14.8,conservative,0
437,26,2,10.5,moderate,0
438,39,1,11.7,moderate,1
439,53,3,16.5,moderate,0
440,7,0,7.4,moderate,0
441,58,3,17.4,conservative,0
442,23,3,13.5,moderate,0
443,21,3,18.6,moderate,0
444,30,5,15.1,moderate,0
445,36,1,10.4,moderate,0
446,39,6,16.9,aggressive,0
447,11,5,19.1,moderate,0
448,10,2,14.8,moderate,0
449,8,3,13.5,moderate,0
450,41,8,27.3,moderate,0
451,24,0,11.6,conservative,0
452,31,3,19.7,conservative,0
453,61,4,18.6,moderate,0
454,38,0,10.8,conservative,0
455,25,2,11.7,conservative,0
456,77,6,16.5,moderate,0
457,61,7,26.8,aggressive,0
458,75,5,23.7,moderate,0
459,31,5,24.6,moderate,0
460,14,0,8.4,conservative,0
461,51,5,13.4,aggressive,0
462,71,6,22.6,moderate,0
463,26,3,19.1,moderate,0
464,17,2,11.6,moderate,0
465,22,1,14.0,conservative,0
466,24,5,19.3,aggressive,1
467,3,2,9.1,aggressive,0
468,29,1,11.3,conservative,0
469,90,3,11.5,conservative,0
470,30,0,8.7,conservative,0
471,49,4,19.7,moderate,1
472,67,5,21.3,aggressive,0
473,25,4,14.5,moderate,0
474,14,3,13.8,conservative,0
475,50,2,15.2,conservative,0
476,83,5,15.2,conservative,1
477,34,2,12.6,moderate,0
478,9,0,7.8,moderate,0
479,15,1,11.5,conservative,0
480,27,2,12.0,moderate,1
481,19,1,11.3,conservative,0
482,42,2,19.4,conservative,1
483,12,2,13.9,moderate,0
484,60,6,27.3,moderate,1
